dataset,k_pct,n_seeds,seeds,auc_mean,auc_std,yield_mean,yield_std,coverage_mean,coverage_std
elliptic,0.01,5,"[42, 43, 44, 45, 46]",0.9953,0.0,1.0,0.0,0.2886,0.0
elliptic,0.05,5,"[42, 43, 44, 45, 46]",0.9421,0.0,1.0,0.0,0.9425,0.0004
elliptic,0.1,5,"[42, 43, 44, 45, 46]",0.7005,0.0,1.0,0.0,0.9397,0.0002
bitcoin_otc,0.01,5,"[42, 43, 44, 45, 46]",0.852,0.0001,0.89,0.0,0.0629,0.0
bitcoin_otc,0.05,5,"[42, 43, 44, 45, 46]",0.8407,0.003,1.0,0.0,0.2433,0.0007
bitcoin_otc,0.1,5,"[42, 43, 44, 45, 46]",0.9226,0.0104,0.914,0.0196,0.3721,0.0038
yelp_fraud,0.01,5,"[42, 43, 44, 45, 46]",0.718,0.0013,0.9686,0.0,0.0523,0.0002
amazon_fraud,0.01,5,"[42, 43, 44, 45, 46]",0.9343,0.0047,0.9405,0.0031,0.0314,0.0006
