dataset,method,n_nodes,n_edges,k%,k_frac,delta_L,resolution,budget_B,n_cases,coverage,purity_induced,ocr_b100,edges_per_case_median,edges_per_case_max,e_ind_total,time_s,ram_mb
ibm_aml_txns,B0_Random,9999,1323234,5%,0.05,7,1.0,100,1323.0,0.004653868528214,0.0004376846482109,0.0,0.0,100.0,18278.0,0.3527626599970972,-1.0
ibm_aml_txns,B0_Random,9999,1323234,10%,0.1,7,1.0,100,2646.0,0.0029086678301337,0.0002727173557325,0.0,0.0,100.0,18334.0,0.4722258149995468,-2.0
ibm_aml_txns,B1_WCC,9999,1323234,1%,0.01,7,1.0,100,7.0,0.0,0.0,0.0,5.0,100.0,128.0,0.3474470250075683,-6.078125
ibm_aml_txns,B1_WCC,9999,1323234,5%,0.05,7,1.0,100,2.0,0.0,0.0,0.0,61.0,100.0,122.0,0.5134658180031693,9.94140625
ibm_aml_txns,B1_WCC,9999,1323234,10%,0.1,7,1.0,100,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.7347484969941434,-6.97265625
ibm_aml_txns,B2_Louvain,9999,1323234,1%,0.01,7,1.0,100,51.0,0.0,0.0,0.0,100.0,100.0,4528.0,0.4182743460114579,-1.0
ibm_aml_txns,B2_Louvain,9999,1323234,5%,0.05,7,1.0,100,17.0,0.0005817335660267,0.000616522811344,0.0,100.0,100.0,1622.0,0.838776203992893,0.0
ibm_aml_txns,B2_Louvain,9999,1323234,10%,0.1,7,1.0,100,23.0,0.0017452006980802,0.0013940520446096,0.0,100.0,100.0,2152.0,1.132114084000932,1.109375
ibm_aml_txns,B3_Greedy,9999,1323234,1%,0.01,7,1.0,100,1732.0,0.2117510180337405,0.0032682672796164,0.0,83.0,100.0,111374.0,9.468668248999164,35.625
ibm_aml_txns,B3_Greedy,9999,1323234,5%,0.05,7,1.0,100,2276.0,0.2158231529959278,0.0026485811172586,0.0,82.0,100.0,140075.0,10.738943589007247,1.25
ibm_aml_txns,B3_Greedy,9999,1323234,10%,0.1,7,1.0,100,2294.0,0.2158231529959278,0.0026412649594555,0.0,82.0,100.0,140463.0,9.31943020799372,1.375
IBM_HI_Small,BTCS_v3,515088,5078345,1%,0.01,30,1.0,100,34265.0,0.0166119374154915,0.0001308464395314,0.0,16.0,100.0,657259.0,2.0062080010102363,-20.29296875
IBM_HI_Small,BTCS_v3,515088,5078345,5%,0.05,30,1.0,100,126732.0,0.0438477882943789,0.0001716716126241,0.0,2.0,100.0,1322292.0,10.832154085990624,135.8046875
IBM_HI_Small,BTCS_v3,515088,5078345,10%,0.1,30,1.0,100,190416.0,0.0436546262314081,0.0001740623928957,0.0,2.0,100.0,1298385.0,28.62980101798894,302.33203125
IBM_HI_Small,B0_Random,515088,5078345,1%,0.01,30,1.0,100,1015.0,0.0086922928336874,0.0004433497536945,0.0,100.0,100.0,101500.0,1.1398300529981498,-324.9296875
IBM_HI_Small,B0_Random,515088,5078345,5%,0.05,30,1.0,100,5078.0,0.0270426888159165,0.0003217274003736,0.0,100.0,100.0,435151.0,1.554742320004152,-0.8671875
IBM_HI_Small,B0_Random,515088,5078345,10%,0.1,30,1.0,100,10156.0,0.025304230249179,0.0002337641016855,0.0,47.0,100.0,560394.0,2.4585079190001125,4.1015625
IBM_HI_Small,B1_WCC,515088,5078345,1%,0.01,30,1.0,100,29671.0,0.0169982615414332,0.0001337939087282,0.0,18.0,100.0,657728.0,1.226914693004801,5.23046875
IBM_HI_Small,B1_WCC,515088,5078345,5%,0.05,30,1.0,100,47759.0,0.0378597643422831,0.0002163754246091,0.0,6.0,100.0,905833.0,4.038656030999846,22.0390625
IBM_HI_Small,B1_WCC,515088,5078345,10%,0.1,30,1.0,100,48654.0,0.028781147382654,0.0003336438385611,0.0,2.0,100.0,446584.0,4.168307309999364,-6.31640625
IBM_HI_Small,B2_Louvain,515088,5078345,1%,0.01,30,1.0,100,29671.0,0.0169982615414332,0.0001337939087282,0.0,18.0,100.0,657728.0,1.3789171099924715,-30.78125
IBM_HI_Small,B2_Louvain,515088,5078345,5%,0.05,30,1.0,100,48193.0,0.0417230056016998,0.0002275557353526,0.0,7.0,100.0,949218.0,4.343078154997784,87.4375
IBM_HI_Small,B2_Louvain,515088,5078345,10%,0.1,30,1.0,100,48913.0,0.0339965230828665,0.0003728244844006,0.0,2.0,100.0,472072.0,7.839204258998507,-11.5078125
IBM_HI_Small,B3_Greedy,515088,5078345,1%,0.01,30,1.0,100,,,,,,,,,
IBM_HI_Small,B3_Greedy,515088,5078345,5%,0.05,30,1.0,100,,,,,,,,,
IBM_HI_Small,B3_Greedy,515088,5078345,10%,0.1,30,1.0,100,,,,,,,,,
IBM_LI_Small,BTCS_v3,705907,6924049,1%,0.01,30,1.0,100,48610.0,0.0123422159887798,4.648715581015491e-05,0.0,17.0,100.0,946498.0,3.1521326639922336,42.6875
IBM_LI_Small,BTCS_v3,705907,6924049,5%,0.05,30,1.0,100,174466.0,0.0403927068723702,7.970535586780866e-05,0.0,2.0,100.0,1806654.0,23.59326449299988,473.8203125
IBM_LI_Small,BTCS_v3,705907,6924049,10%,0.1,30,1.0,100,261181.0,0.0496493688639551,0.0001002907297935,0.0,2.0,100.0,1764869.0,56.18844614700356,338.51171875
IBM_LI_Small,B0_Random,705907,6924049,1%,0.01,30,1.0,100,1384.0,0.0075736325385694,0.0001950867052023,0.0,100.0,100.0,138400.0,2.973551810995559,-437.75390625
IBM_LI_Small,B0_Random,705907,6924049,5%,0.05,30,1.0,100,6924.0,0.0246844319775596,0.0001490807814543,0.0,100.0,100.0,590284.0,3.3154852489969926,-1.96875
IBM_LI_Small,B0_Random,705907,6924049,10%,0.1,30,1.0,100,13848.0,0.0244039270687237,0.0001134657796338,0.0,48.0,100.0,766751.0,4.765741822004202,11.43359375
IBM_LI_Small,B1_WCC,705907,6924049,1%,0.01,30,1.0,100,41700.0,0.0117812061711079,4.4263596037775816e-05,0.0,20.0,100.0,948861.0,2.676710006009671,6.22265625
IBM_LI_Small,B1_WCC,705907,6924049,5%,0.05,30,1.0,100,64915.0,0.0359046283309957,0.0001049454734475,0.0,6.0,100.0,1219681.0,7.013399814008153,69.12109375
IBM_LI_Small,B1_WCC,705907,6924049,10%,0.1,30,1.0,100,66237.0,0.0302945301542777,0.000182426885669,0.0,2.0,100.0,592018.0,10.399417561013252,-28.51953125
IBM_LI_Small,B2_Louvain,705907,6924049,1%,0.01,30,1.0,100,41700.0,0.0117812061711079,4.4263596037775816e-05,0.0,20.0,100.0,948861.0,3.510838675996638,-54.8671875
IBM_LI_Small,B2_Louvain,705907,6924049,5%,0.05,30,1.0,100,65447.0,0.0387096774193548,0.0001084176909388,0.0,6.0,100.0,1272855.0,8.745086019000155,146.4609375
IBM_LI_Small,B2_Louvain,705907,6924049,10%,0.1,30,1.0,100,66600.0,0.0330995792426367,0.0001879357960355,0.0,2.0,100.0,627874.0,15.88032403300167,-18.62109375
IBM_LI_Small,B3_Greedy,705907,6924049,1%,0.01,30,1.0,100,,,,,,,,,
IBM_LI_Small,B3_Greedy,705907,6924049,5%,0.05,30,1.0,100,,,,,,,,,
IBM_LI_Small,B3_Greedy,705907,6924049,10%,0.1,30,1.0,100,,,,,,,,,
paysim,BTCS_v3,9073900,6362620,1%,0.01,24,1.0,100,44807.0,0.2505783513941312,0.032344759300297,0.0,1.0,12.0,63627.0,3.37283470100374,-77.7578125
paysim,BTCS_v3,9073900,6362620,5%,0.05,24,1.0,100,156678.0,0.470108364787532,0.0121365098025656,0.0,1.0,26.0,318131.0,8.145689883996965,163.61328125
paysim,BTCS_v3,9073900,6362620,10%,0.1,24,1.0,100,247350.0,0.5580177766954828,0.0072030075660655,0.0,2.0,37.0,636262.0,17.528163050999865,308.91015625
paysim,B0_Random,9073900,6362620,1%,0.01,24,1.0,100,1272.0,0.2309752830877876,0.0423295771505076,0.0,34.0,50.0,44815.0,2.819913448998705,-398.62890625
paysim,B0_Random,9073900,6362620,5%,0.05,24,1.0,100,6362.0,0.3808596128089614,0.0199591628381827,0.0,22.0,50.0,156720.0,2.1997539829899324,-1.94140625
paysim,B0_Random,9073900,6362620,10%,0.1,24,1.0,100,12725.0,0.4094727870449288,0.0135895260031518,0.0,16.0,50.0,247470.0,3.1094593960006023,0.0
paysim,B1_WCC,9073900,6362620,1%,0.01,24,1.0,100,44807.0,0.2505783513941312,0.032344759300297,0.0,1.0,12.0,63627.0,1.9193115229863904,-47.25
paysim,B1_WCC,9073900,6362620,5%,0.05,24,1.0,100,156678.0,0.470108364787532,0.0121365098025656,0.0,1.0,26.0,318131.0,6.71950578900578,-16.56640625
paysim,B1_WCC,9073900,6362620,10%,0.1,24,1.0,100,247350.0,0.5580177766954828,0.0072030075660655,0.0,2.0,37.0,636262.0,9.3265524150047,237.03125
paysim,B2_Louvain,9073900,6362620,1%,0.01,24,1.0,100,44807.0,0.2505783513941312,0.032344759300297,0.0,1.0,12.0,63627.0,2.4762467669934267,-247.98828125
paysim,B2_Louvain,9073900,6362620,5%,0.05,24,1.0,100,156678.0,0.470108364787532,0.0121365098025656,0.0,1.0,26.0,318131.0,6.527093823999167,43.6328125
paysim,B2_Louvain,9073900,6362620,10%,0.1,24,1.0,100,247350.0,0.5580177766954828,0.0072030075660655,0.0,2.0,37.0,636262.0,10.193862294006976,169.5390625
paysim,B3_Greedy,9073900,6362620,1%,0.01,24,1.0,100,,,,,,,,,
paysim,B3_Greedy,9073900,6362620,5%,0.05,24,1.0,100,,,,,,,,,
paysim,B3_Greedy,9073900,6362620,10%,0.1,24,1.0,100,,,,,,,,,
dgraph_fin,BTCS_v3,3700550,4300999,1%,0.01,30,1.0,100,15594.0,0.0089561123285611,0.6538532429498863,0.0,2.0,71.0,48829.0,3.352099197989446,-250.94921875
dgraph_fin,BTCS_v3,3700550,4300999,5%,0.05,30,1.0,100,85915.0,0.0466056146327396,0.6780462720739178,0.0,2.0,98.0,245029.0,6.613448723990587,73.23046875
dgraph_fin,BTCS_v3,3700550,4300999,10%,0.1,30,1.0,100,200149.0,0.1009689668056916,0.7379584087652,0.0,1.0,100.0,487747.0,11.757531842013124,298.94921875
dgraph_fin,B0_Random,3700550,4300999,1%,0.01,30,1.0,100,860.0,0.0033474265799079,0.6343291516053583,0.0,17.0,64.0,18812.0,0.974791323998943,-267.58203125
dgraph_fin,B0_Random,3700550,4300999,5%,0.05,30,1.0,100,4301.0,0.0205412435045954,0.6814763801511372,0.0,21.0,67.0,107452.0,1.6664346720062897,-0.9765625
dgraph_fin,B0_Random,3700550,4300999,10%,0.1,30,1.0,100,8602.0,0.053425859536561,0.7680649766500246,0.0,26.0,66.0,247966.0,2.4813117180019617,-0.92578125
dgraph_fin,B1_WCC,3700550,4300999,1%,0.01,30,1.0,100,15528.0,0.0089622837343063,0.6535676294902217,0.0,2.0,100.0,48884.0,1.067649345000973,-9.8359375
dgraph_fin,B1_WCC,3700550,4300999,5%,0.05,30,1.0,100,85639.0,0.0466415209934392,0.6779101958274044,0.0,2.0,100.0,245267.0,2.584256996997283,-24.59375
dgraph_fin,B1_WCC,3700550,4300999,10%,0.1,30,1.0,100,199306.0,0.10096503954749,0.7377920539195388,0.0,1.0,100.0,487838.0,6.033529401989654,82.01953125
dgraph_fin,B2_Louvain,3700550,4300999,1%,0.01,30,1.0,100,15528.0,0.0089622837343063,0.6535676294902217,0.0,2.0,100.0,48884.0,1.3391085010080133,-104.734375
dgraph_fin,B2_Louvain,3700550,4300999,5%,0.05,30,1.0,100,85639.0,0.0466415209934392,0.6779101958274044,0.0,2.0,100.0,245267.0,3.17536475599627,0.0078125
dgraph_fin,B2_Louvain,3700550,4300999,10%,0.1,30,1.0,100,199306.0,0.10096503954749,0.7377920539195388,0.0,1.0,100.0,487838.0,10.060271717011346,136.1640625
dgraph_fin,B3_Greedy,3700550,4300999,1%,0.01,30,1.0,100,13907.0,0.2550277320532715,0.8145413820136633,0.0,100.0,100.0,1116125.0,107.0320763149939,1359.3515625
dgraph_fin,B3_Greedy,3700550,4300999,5%,0.05,30,1.0,100,52581.0,0.634458100082248,0.8188618147561626,0.0,45.0,100.0,2762046.0,248.4553561529901,127.69140625
dgraph_fin,B3_Greedy,3700550,4300999,10%,0.1,30,1.0,100,91654.0,0.789079304807974,0.8232086657610079,0.0,17.0,100.0,3417034.0,359.0871189299942,233.03515625
elliptic,BTCS_v3,203769,234355,1%,0.01,2,1.0,100,1118.0,0.2886433394720687,0.988645920941968,0.0,1.0,68.0,2378.0,0.0466059520113049,1.0
elliptic,BTCS_v3,203769,234355,5%,0.05,2,1.0,100,4712.0,0.9425414364640884,0.6774620543593364,0.0,1.0,100.0,11332.0,0.4741388989932602,9.5
elliptic,BTCS_v3,203769,234355,10%,0.1,2,1.0,100,12585.0,0.939963167587477,0.3289648949426373,0.0,1.0,100.0,23273.0,0.4956013629998779,17.46484375
elliptic,B0_Random,203769,234355,1%,0.01,2,1.0,100,46.0,0.1475751995089011,0.9975103734439834,0.0,24.0,50.0,1205.0,0.0258335790131241,-12.72265625
elliptic,B0_Random,203769,234355,5%,0.05,2,1.0,100,234.0,0.2890116635972989,0.42445005409304,0.0,22.0,50.0,5546.0,0.0380930240062298,0.0
elliptic,B0_Random,203769,234355,10%,0.1,2,1.0,100,468.0,0.2772252915899325,0.1643735895755987,0.0,28.0,50.0,13737.0,0.0523675020085647,0.0
elliptic,B1_WCC,203769,234355,1%,0.01,2,1.0,100,1118.0,0.2886433394720687,0.988645920941968,0.0,1.0,68.0,2378.0,0.0311768719984684,-0.97265625
elliptic,B1_WCC,203769,234355,5%,0.05,2,1.0,100,4630.0,0.907182320441989,0.6702648766328012,0.0,1.0,100.0,11024.0,0.0582171369896968,-1.953125
elliptic,B1_WCC,203769,234355,10%,0.1,2,1.0,100,12461.0,0.8882750153468385,0.3178822495606327,0.0,1.0,100.0,22760.0,0.1359435850026784,3.875
elliptic,B2_Louvain,203769,234355,1%,0.01,2,1.0,100,1118.0,0.2886433394720687,0.988645920941968,0.0,1.0,68.0,2378.0,0.0358319039951311,-1.50390625
elliptic,B2_Louvain,203769,234355,5%,0.05,2,1.0,100,4632.0,0.916267648864334,0.6717976415518948,0.0,1.0,100.0,11109.0,0.074810942998738,0.0
elliptic,B2_Louvain,203769,234355,10%,0.1,2,1.0,100,12462.0,0.9005524861878453,0.3208661417322834,0.0,1.0,100.0,22860.0,0.1769121130055282,1.875
elliptic,B3_Greedy,203769,234355,1%,0.01,2,1.0,100,794.0,0.8356046654389195,0.16134844246361,0.0,42.5,100.0,42182.0,3.638307722008904,74.421875
elliptic,B3_Greedy,203769,234355,5%,0.05,2,1.0,100,3333.0,0.9583793738489872,0.0597826503182128,0.0,16.0,100.0,130573.0,9.16981245498755,18.875
elliptic,B3_Greedy,203769,234355,10%,0.1,2,1.0,100,6208.0,0.9583793738489872,0.0452275281875383,0.0,9.0,100.0,172594.0,10.103184444000362,-5.640625
elliptic_plus,BTCS_v3,203769,234355,1%,0.01,2,1.0,100,1118.0,0.2886433394720687,0.988645920941968,0.0,1.0,68.0,2378.0,0.0427195879892678,1.25
elliptic_plus,BTCS_v3,203769,234355,5%,0.05,2,1.0,100,4712.0,0.9425414364640884,0.6774620543593364,0.0,1.0,100.0,11332.0,0.3574456229980569,12.25
elliptic_plus,BTCS_v3,203769,234355,10%,0.1,2,1.0,100,12585.0,0.939963167587477,0.3289648949426373,0.0,1.0,100.0,23273.0,0.4833816610043868,20.9453125
elliptic_plus,B0_Random,203769,234355,1%,0.01,2,1.0,100,46.0,0.1479435236341313,0.9975165562913908,0.0,24.5,50.0,1208.0,0.0258142889942973,-13.4296875
elliptic_plus,B0_Random,203769,234355,5%,0.05,2,1.0,100,234.0,0.2896255371393493,0.424968474148802,0.0,22.0,50.0,5551.0,0.035588713013567,0.0
elliptic_plus,B0_Random,203769,234355,10%,0.1,2,1.0,100,468.0,0.2766114180478821,0.1639976706944242,0.0,28.0,50.0,13738.0,0.0518736569938482,0.0
elliptic_plus,B1_WCC,203769,234355,1%,0.01,2,1.0,100,1118.0,0.2886433394720687,0.988645920941968,0.0,1.0,68.0,2378.0,0.0298522980010602,0.0
elliptic_plus,B1_WCC,203769,234355,5%,0.05,2,1.0,100,4630.0,0.907182320441989,0.6702648766328012,0.0,1.0,100.0,11024.0,0.0561440320016117,-1.98046875
elliptic_plus,B1_WCC,203769,234355,10%,0.1,2,1.0,100,12461.0,0.8882750153468385,0.3178822495606327,0.0,1.0,100.0,22760.0,0.1264680690073873,3.25
elliptic_plus,B2_Louvain,203769,234355,1%,0.01,2,1.0,100,1118.0,0.2886433394720687,0.988645920941968,0.0,1.0,68.0,2378.0,0.0342651699902489,-1.6796875
elliptic_plus,B2_Louvain,203769,234355,5%,0.05,2,1.0,100,4632.0,0.9177409453652547,0.6722122302158273,0.0,1.0,100.0,11120.0,0.0768267640087287,-1.0
elliptic_plus,B2_Louvain,203769,234355,10%,0.1,2,1.0,100,12462.0,0.9005524861878453,0.3208661417322834,0.0,1.0,100.0,22860.0,0.1754418519994942,3.0
elliptic_plus,B3_Greedy,203769,234355,1%,0.01,2,1.0,100,794.0,0.8356046654389195,0.16134844246361,0.0,42.5,100.0,42182.0,4.085650778011768,72.1171875
elliptic_plus,B3_Greedy,203769,234355,5%,0.05,2,1.0,100,3333.0,0.9583793738489872,0.0597826503182128,0.0,16.0,100.0,130573.0,8.90757599301287,5.37890625
elliptic_plus,B3_Greedy,203769,234355,10%,0.1,2,1.0,100,6208.0,0.9583793738489872,0.0452275281875383,0.0,9.0,100.0,172594.0,10.802735036995728,11.22265625
amazon_fraud,BTCS_v3,11944,500000,1%,0.01,5000,1.0,100,1495.0,0.10027392711878476,0.8217687074829932,0.0,0.0,100.0,2940.0,0.2673325749929063,33.25
amazon_fraud,BTCS_v3,11944,500000,5%,0.05,5000,1.0,100,2939.0,0.18971528181289948,0.7696581916147499,0.0,0.0,100.0,5939.0,2.069288928003516,60.7109375
amazon_fraud,BTCS_v3,11944,500000,10%,0.1,5000,1.0,100,5130.0,0.12924379513571843,0.600347021399653,0.0,0.0,100.0,5187.0,2.498360097000841,45.16015625
amazon_fraud,B0_Random,11944,500000,1%,0.01,5000,1.0,100,100.0,0.03419938573918818,0.39864537977745523,0.0,12.0,100.0,2067.0,0.05285643300157972,-2.0
amazon_fraud,B0_Random,11944,500000,5%,0.05,5000,1.0,100,500.0,0.036233087075620486,0.3431603773584906,0.0,1.0,100.0,2544.0,0.0756831280014012,0.0
