dataset,method,n_nodes,n_edges,k%,k_frac,delta_L,resolution,budget_B,n_cases,coverage,purity_induced,ocr_b100,edges_per_case_median,edges_per_case_max,e_ind_total,time_s,ram_mb
yelp_fraud,BTCS_v3,45954,500000,10%,0.1,5000,1.0,100,2852.0,0.2361476735703638,0.7491761628053228,0.0,6.0,100.0,39753.0,1.4272158819949254,-2.9765625
yelp_fraud,B0_Random,45954,500000,1%,0.01,5000,1.0,100,100.0,0.02395413746075042,0.9748305905130688,0.0,29.0,57.0,3099.0,0.052147249996778555,-1.99609375
yelp_fraud,B0_Random,45954,500000,5%,0.05,5000,1.0,100,500.0,0.03807605696343049,0.96271050521251,0.0,4.0,62.0,4988.0,0.07595860800938681,-0.99609375
yelp_fraud,B0_Random,45954,500000,10%,0.1,5000,1.0,100,1000.0,0.03965396936154017,0.9554833779136416,0.0,1.0,56.0,5234.0,0.12650741600373294,0.0
yelp_fraud,B1_WCC,45954,500000,1%,0.01,5000,1.0,100,2537.0,0.04132703225601827,0.9414739884393064,0.0,1.0,100.0,5536.0,0.0668938760063611,0.0
yelp_fraud,B1_WCC,45954,500000,5%,0.05,5000,1.0,100,1211.0,0.08051317834374702,0.9593726379440665,0.0,2.0,100.0,10584.0,0.14620494599512313,-1.0
yelp_fraud,B1_WCC,45954,500000,10%,0.1,5000,1.0,100,561.0,0.04749595610390434,0.9527596627962462,0.0,2.0,100.0,6287.0,0.20935128099517897,0.0
yelp_fraud,B2_Louvain,45954,500000,1%,0.01,5000,1.0,100,2539.0,0.04291287386215865,0.9435146443514645,0.0,1.0,100.0,5736.0,0.07021950499620289,0.0
yelp_fraud,B2_Louvain,45954,500000,5%,0.05,5000,1.0,100,1219.0,0.08685654476830854,0.9622276879831342,0.0,2.0,100.0,11384.0,0.15305303600325715,0.0
yelp_fraud,B2_Louvain,45954,500000,10%,0.1,5000,1.0,100,599.0,0.07762694662057154,0.9705561613958561,0.0,2.0,100.0,10087.0,0.2784329670103034,0.0
yelp_fraud,B3_Greedy,45954,500000,1%,0.01,5000,1.0,100,1394.0,0.2817485489549304,0.2773199094669476,0.0,98.0,100.0,128130.0,9.473739344000933,54.375
yelp_fraud,B3_Greedy,45954,500000,5%,0.05,5000,1.0,100,1755.0,0.29127152779980336,0.27694720255731725,0.0,97.0,100.0,132639.0,9.61637606099248,7.0
yelp_fraud,B3_Greedy,45954,500000,10%,0.1,5000,1.0,100,1962.0,0.2935868565447683,0.2778561565708111,0.0,97.0,100.0,133256.0,9.153849370995886,0.625
t_finance,BTCS_v3,39357,2000000,1%,0.01,100000,1.0,100,1157.0,0.05990653215458687,0.6509337426451778,0.0,0.0,100.0,7818.0,1.109103494003648,137.6640625
t_finance,BTCS_v3,39357,2000000,5%,0.05,100000,1.0,100,2236.0,0.05265512248525586,0.617817679558011,0.0,0.0,100.0,7240.0,18.823243687991635,298.125
t_finance,BTCS_v3,39357,2000000,10%,0.1,100000,1.0,100,4755.0,0.029641314200284877,0.4299863387978142,0.0,0.0,100.0,5856.0,28.325462175009307,17.6484375
t_finance,B0_Random,39357,2000000,1%,0.01,100000,1.0,100,400.0,0.019811887132279368,0.4770408163265306,0.0,4.0,100.0,3528.0,0.25559222500305623,0.0
t_finance,B0_Random,39357,2000000,5%,0.05,100000,1.0,100,2000.0,0.019411646988192914,0.2452409280190363,0.0,1.0,100.0,6724.0,0.4784338870085776,0.0
t_finance,B0_Random,39357,2000000,10%,0.1,100000,1.0,100,4000.0,0.015891888074020883,0.11448439620081412,0.0,0.0,100.0,11792.0,0.5375618800026132,0.0
t_finance,B1_WCC,39357,2000000,1%,0.01,100000,1.0,100,81.0,0.003001801080648389,0.9883720930232558,0.0,1.0,100.0,258.0,0.381025597002008,-1.1015625
t_finance,B1_WCC,39357,2000000,5%,0.05,100000,1.0,100,551.0,0.0020718313340945746,0.22082810539523212,0.0,1.0,100.0,797.0,0.6780934660055209,-14.97265625
t_finance,B1_WCC,39357,2000000,10%,0.1,100000,1.0,100,477.0,0.0017304500347267184,0.2055944055944056,0.0,1.0,100.0,715.0,0.866655873003765,0.2421875
t_finance,B2_Louvain,39357,2000000,1%,0.01,100000,1.0,100,105.0,0.02462654063026051,0.9640552995391705,0.0,2.0,100.0,2170.0,0.30076758199720643,0.0
t_finance,B2_Louvain,39357,2000000,5%,0.05,100000,1.0,100,697.0,0.010512189666741221,0.47474747474747475,0.0,1.0,100.0,1881.0,0.7096917609887896,-0.2421875
t_finance,B2_Louvain,39357,2000000,10%,0.1,100000,1.0,100,920.0,0.011406844106463879,0.26489885183160194,0.0,1.0,100.0,3658.0,0.9155541520012775,1.31640625
t_finance,B3_Greedy,39357,2000000,1%,0.01,100000,1.0,100,750.0,0.07684610766459876,0.10993230271799535,0.0,99.0,100.0,59382.0,51.002970771995024,147.25
t_finance,B3_Greedy,39357,2000000,5%,0.05,100000,1.0,100,1188.0,0.08077787849180096,0.11240335473725593,0.0,39.0,100.0,61048.0,53.82800568899256,0.25
t_finance,B3_Greedy,39357,2000000,10%,0.1,100000,1.0,100,1823.0,0.08077787849180096,0.10975161140700222,0.0,4.0,100.0,62523.0,52.85093469299318,0.0
